Province,Confirm,ma
Hà Nội,1642679,1
TP. Hồ Chí Minh,628388,79
Nghệ An,501445,40
Bắc Giang,391384,24
Vĩnh Phúc,375418,26
Hải Dương,372146,30
Quảng Ninh,356116,22
Bắc Ninh,353691,27
Bình Dương,325199,74
Phú Thọ,330992,25
Nam Định,300981,36
Thái Bình,296720,34
Hưng Yên,243943,33
Hoà Bình,239853,17
Thái Nguyên,346972,19
Lào Cai,188491,10
Đắk Lắk,172439,66
Thanh Hóa,177612,38
Lạng Sơn,160752,20
Sơn La,153357,14
Cà Mau,147574,96
Tuyên Quang,147291,8
Tây Ninh,140248,72
Bình Định,139474,52
Quảng Bình,129258,44
Hà Giang,122610,2
Hải Phòng,537053,31
Khánh Hòa,121589,56
Bình Phước,119895,70
Bà Rịa - Vũng Tàu,110570,77
Đồng Nai,107518,75
Vĩnh Long,103302,86
Ninh Bình,104636,37
Đà Nẵng,108420,48
Bến Tre,99392,83
Cao Bằng,98730,4
Lâm Đồng,97595,68
Điện Biên,90478,11
Hà Nam,91170,35
Quảng Trị,85975,45
Cần Thơ,76852,92
Trà Vinh,75129,84
Bắc Kạn,76813,6
Lai Châu,75348,12
Đắk Nông,73427,67
Gia Lai,70934,64
Bình Thuận,54012,60
Đồng Tháp,51474,87
Hà Tĩnh,54879,42
Quảng Nam,49465,49
Long An,50161,80
Quảng Ngãi,50379,51
Bạc Liêu,46876,95
Thừa Thiên Huế,48061,46
Phú Yên,44149,54
An Giang,43163,89
Kiên Giang,43105,91
Tiền Giang,39441,82
Sóc Trăng,34448,94
Kon Tum,26319,62
Hậu Giang,17804,93
Ninh Thuận,8883,58
Yên Bái,157429,15